,outcome_sum,n_failed_trap_rounds,bqp_error,expected_outcome,majority vote outcome
circuit000.qasm,47,78,0.3449277937115822,0,0
circuit001.qasm,54,78,0.6131662607362389,1,1
circuit003.qasm,55,84,0.7499999999999996,1,1
circuit004.qasm,50,79,0.6767766952966366,1,0
circuit006.qasm,60,85,0.9176237822087159,1,1
circuit009.qasm,45,76,0.1982233047033637,0,0
circuit011.qasm,57,73,0.6249999999999999,1,1
circuit017.qasm,41,82,0.1723349570550453,0,0
circuit018.qasm,56,82,0.3574793696318806,0,1
circuit022.qasm,50,84,0.32322330470336336,0,0
circuit026.qasm,51,79,0.190640783230886,0,1
circuit030.qasm,51,85,0.25000000000000044,0,1
circuit037.qasm,45,81,0.28661165235168196,0,0
circuit038.qasm,47,81,0.39438313196968466,0,0
circuit039.qasm,51,83,0.3071383476483189,0,1
circuit044.qasm,44,81,0.3996152937115822,0,0
circuit045.qasm,37,75,0.1528037070550451,0,0
circuit049.qasm,49,77,0.3383883476483188,0,0
circuit050.qasm,40,75,0.3857233047033629,0,0
circuit055.qasm,48,72,0.3674174785275225,0,0
circuit056.qasm,42,82,0.6379441738241589,1,0
circuit059.qasm,54,82,0.7499999999999996,1,1
circuit060.qasm,44,77,0.3416917502555425,0,0
circuit064.qasm,42,83,0.38281250000000017,0,0
circuit067.qasm,45,80,0.6010072827198008,1,0
circuit070.qasm,49,78,0.6075050033032217,1,0
circuit071.qasm,51,73,0.33126578323088574,0,1
circuit072.qasm,47,80,0.3750000000000002,0,0
circuit073.qasm,48,76,0.32322330470336347,0,0
circuit075.qasm,42,78,0.12500000000000078,0,0
circuit077.qasm,50,83,0.32322330470336325,0,0
circuit078.qasm,53,78,0.8383883476483179,1,1
circuit080.qasm,50,83,0.7354854345603978,1,0
circuit082.qasm,54,87,0.60061468481594,1,1
circuit083.qasm,43,83,0.12500000000000078,0,0
circuit088.qasm,50,83,0.620053739104047,1,0
circuit089.qasm,52,79,0.6249999999999998,1,1
circuit093.qasm,38,80,0.3321462392637617,0,0
circuit094.qasm,45,82,0.38415291308792077,0,0
circuit095.qasm,65,84,0.669194173824159,1,1
circuit097.qasm,49,82,0.37500000000000006,0,0
circuit098.qasm,54,78,0.6369963586400991,1,1
circuit099.qasm,53,81,0.2866116523516816,0,1
circuit101.qasm,54,83,0.8276650429449548,1,1
circuit103.qasm,51,81,0.2683058261758413,0,1
circuit105.qasm,41,84,0.6186092227760895,1,0
circuit111.qasm,37,80,0.3102791308792041,0,0
circuit114.qasm,62,76,0.7499999999999997,1,1
circuit119.qasm,40,78,0.2919733047033635,0,0
circuit121.qasm,40,85,0.38872936963188087,0,0
circuit122.qasm,52,76,0.6421280324642585,1,1
circuit123.qasm,56,77,0.6319291547163131,1,1
circuit125.qasm,47,81,0.1418701528627665,0,0
circuit127.qasm,54,87,0.3630001537256544,0,1
circuit132.qasm,50,82,0.7042354345603976,1,0
circuit133.qasm,61,86,0.9095673531442079,1,1
circuit134.qasm,43,79,0.28488952738362483,0,0
circuit135.qasm,47,79,0.3705385327198012,0,0
circuit136.qasm,43,82,0.713388347648318,1,0
circuit137.qasm,44,81,0.24463834764831893,0,0
circuit145.qasm,60,79,0.6249999999999997,1,1
circuit147.qasm,62,77,0.908470869120795,1,1
circuit148.qasm,47,79,0.20312500000000072,0,0
circuit150.qasm,54,72,0.6142766952966366,1,1
circuit151.qasm,61,85,0.9267766952966365,1,1
circuit152.qasm,55,82,0.7392766952966366,1,1
circuit154.qasm,58,78,0.6950825214724776,1,1
circuit155.qasm,56,80,0.618209948795454,1,1
circuit161.qasm,60,79,0.658293365334277,1,1
circuit164.qasm,50,78,0.9374999999999993,1,0
circuit165.qasm,51,74,0.6169575214724774,1,1
circuit166.qasm,53,78,0.2645145654396024,0,1
circuit172.qasm,50,81,0.6691941738241587,1,0
circuit173.qasm,57,82,0.28661165235168196,0,1
circuit174.qasm,62,74,0.9267766952966361,1,1
circuit178.qasm,44,80,0.3167512177912839,0,0
circuit180.qasm,51,79,0.6127736628323779,1,1
circuit181.qasm,59,82,0.8535533905932733,1,1
circuit182.qasm,56,79,0.6066941738241588,1,1
circuit186.qasm,47,87,0.25915291308792066,0,0
circuit191.qasm,49,74,0.6874999999999998,1,0
circuit197.qasm,50,83,0.7180222988241589,1,0
circuit200.qasm,51,77,0.66392369567995,1,1
circuit201.qasm,54,81,0.7271177172801987,1,1
circuit202.qasm,39,78,0.2995558261758411,0,0
circuit210.qasm,50,82,0.6483225107362383,1,0
circuit212.qasm,52,80,0.7163492924096971,1,1
circuit214.qasm,51,84,0.3986674785275226,0,1
circuit215.qasm,57,86,0.853553390593273,1,1
circuit216.qasm,50,82,0.8535533905932731,1,0
circuit224.qasm,51,78,0.294424152351682,0,1
circuit231.qasm,52,76,0.393305826175841,0,1
circuit232.qasm,48,75,0.37776213586401014,0,0
circuit234.qasm,59,82,0.6727891356084676,1,1
circuit237.qasm,59,75,0.7567496955521786,1,1
circuit240.qasm,54,76,0.37196025549589073,0,1
circuit241.qasm,44,78,0.12886848440672682,0,0
circuit242.qasm,56,78,0.7196978151840593,1,1
circuit243.qasm,50,75,0.6249999999999997,1,0
circuit244.qasm,39,81,0.24777913087920445,0,0
